sample_fp	plate	cycle	well	tile
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0080_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0080.nd2	1	1	A1	80
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0081_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0081.nd2	1	1	A1	81
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0082_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0082.nd2	1	1	A1	82
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0083_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0083.nd2	1	1	A1	83
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0084_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0084.nd2	1	1	A1	84
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0085_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0085.nd2	1	1	A1	85
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0086_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0086.nd2	1	1	A1	86
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0087_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0087.nd2	1	1	A1	87
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0088_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0088.nd2	1	1	A1	88
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0089_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0089.nd2	1	1	A1	89
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0090_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0090.nd2	1	1	A1	90
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0091_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0091.nd2	1	1	A1	91
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0092_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0092.nd2	1	1	A1	92
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0093_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0093.nd2	1	1	A1	93
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0094_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0094.nd2	1	1	A1	94
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0095_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0095.nd2	1	1	A1	95
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0096_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0096.nd2	1	1	A1	96
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0097_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0097.nd2	1	1	A1	97
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0098_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0098.nd2	1	1	A1	98
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0099_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0099.nd2	1	1	A1	99
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0100_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0100.nd2	1	1	A1	100
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0101_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0101.nd2	1	1	A1	101
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0102_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0102.nd2	1	1	A1	102
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0103_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0103.nd2	1	1	A1	103
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0104_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0104.nd2	1	1	A1	104
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0105_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0105.nd2	1	1	A1	105
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0106_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0106.nd2	1	1	A1	106
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0107_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0107.nd2	1	1	A1	107
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0108_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0108.nd2	1	1	A1	108
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0109_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0109.nd2	1	1	A1	109
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0110_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0110.nd2	1	1	A1	110
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0111_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0111.nd2	1	1	A1	111
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0112_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0112.nd2	1	1	A1	112
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0113_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0113.nd2	1	1	A1	113
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0114_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0114.nd2	1	1	A1	114
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0115_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0115.nd2	1	1	A1	115
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0116_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0116.nd2	1	1	A1	116
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0117_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0117.nd2	1	1	A1	117
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0118_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0118.nd2	1	1	A1	118
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0119_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0119.nd2	1	1	A1	119
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0120_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0120.nd2	1	1	A1	120
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0121_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0121.nd2	1	1	A1	121
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0122_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0122.nd2	1	1	A1	122
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0123_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0123.nd2	1	1	A1	123
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0124_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0124.nd2	1	1	A1	124
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0125_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0125.nd2	1	1	A1	125
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0126_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0126.nd2	1	1	A1	126
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0127_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0127.nd2	1	1	A1	127
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0128_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0128.nd2	1	1	A1	128
